AppelKey,Libelle_code_appel,Code_appel,Held,Raccroche_agent,Interruptdel,Numero_compose
102,answered,2.0,2.0,0.0,0.0,2788678.0
103,answered,2.0,2.0,0.0,0.0,2796509.0
104,answered,2.0,2.0,1.0,0.0,2788592.0
105,answered,2.0,2.0,0.0,0.0,2796569.0
106,answered,2.0,2.0,0.0,0.0,2796017.0
107,answered,2.0,2.0,0.0,0.0,2796621.0
108,answered,2.0,2.0,0.0,0.0,2788619.0
109,answered,2.0,2.0,0.0,0.0,2788576.0
110,answered,2.0,2.0,1.0,0.0,2788588.0
111,answered,2.0,2.0,0.0,0.0,2788616.0
112,answered,2.0,2.0,0.0,0.0,2788643.0
113,answered,2.0,2.0,1.0,0.0,2788608.0
114,answered,2.0,2.0,1.0,0.0,2796008.0
115,answered,2.0,2.0,0.0,0.0,2796501.0
116,answered,2.0,2.0,1.0,0.0,2796618.0
117,answered,2.0,2.0,1.0,0.0,2796584.0
118,answered,2.0,2.0,1.0,0.0,2788631.0
119,answered,2.0,2.0,0.0,0.0,2788644.0
120,answered,2.0,2.0,1.0,0.0,2788689.0
121,answered,2.0,2.0,0.0,0.0,2788592.0
122,answered,2.0,2.0,0.0,0.0,2788675.0
123,answered,2.0,2.0,0.0,0.0,2796502.0
124,answered,2.0,2.0,0.0,0.0,2788621.0
125,answered,2.0,2.0,1.0,0.0,2788675.0
126,answered,2.0,2.0,0.0,0.0,2788670.0
127,answered,2.0,2.0,0.0,0.0,2788659.0
128,answered,2.0,2.0,0.0,0.0,2788683.0
129,answered,2.0,2.0,0.0,0.0,2796503.0
130,answered,2.0,2.0,0.0,0.0,2796514.0
131,answered,2.0,2.0,0.0,0.0,2796586.0
132,answered,2.0,2.0,1.0,0.0,2796586.0
133,answered,2.0,2.0,0.0,0.0,2796610.0
134,answered,2.0,2.0,0.0,0.0,2788574.0
135,answered,2.0,2.0,0.0,0.0,2796559.0
136,answered,2.0,2.0,0.0,0.0,2796618.0
137,answered,2.0,2.0,0.0,0.0,2796550.0
138,answered,2.0,2.0,0.0,0.0,2788584.0
139,answered,2.0,2.0,0.0,0.0,2796504.0
140,answered,2.0,2.0,0.0,0.0,2796667.0
141,answered,2.0,2.0,0.0,0.0,2788612.0
142,answered,2.0,2.0,0.0,0.0,2796011.0
143,answered,2.0,2.0,0.0,0.0,2788581.0
144,answered,2.0,2.0,0.0,0.0,2788634.0
